Mapping file: gcpt_meas_lab_loinc_mod.csv

Found 685 relevant mappings in tokenizer. Please try to manually map this file!!!



Found codes in tokenizer:
Code                                                         Domain                                                       OMOP Code                                                   
51730                                                        Measurement                                                  3036987                                                     
51738                                                        Measurement                                                  3020924                                                     
51739                                                        Measurement                                                  3015632                                                     
51741                                                        Measurement                                                  3024995                                                     
51742                                                        Measurement                                                  3006957                                                     
51743                                                        Measurement                                                  3038943                                                     
51744                                                        Measurement                                                  3017382                                                     
51746                                                        Measurement                                                  3000185                                                     
51747                                                        Measurement                                                  3019832                                                     
51748                                                        Measurement                                                  3019832                                                     
51751                                                        Measurement                                                  3007359                                                     
51753                                                        Measurement                                                  3022386                                                     
51754                                                        Measurement                                                  3022575                                                     
51755                                                        Measurement                                                  3000905                                                     
51756                                                        Measurement                                                  3000905                                                     
51761                                                        Measurement                                                  3017394                                                     
51769                                                        Measurement                                                  3011564                                                     
51770                                                        Measurement                                                  46236952                                                    
51773                                                        Measurement                                                  3035795                                                     
51774                                                        Measurement                                                  3052023                                                     
51775                                                        Measurement                                                  3024474                                                     
51776                                                        Measurement                                                  3024474                                                     
51777                                                        Measurement                                                  3024474                                                     
51788                                                        Measurement                                                  3001363                                                     
51790                                                        Measurement                                                  3022548                                                     
51791                                                        Measurement                                                  3026532                                                     
51802                                                        Measurement                                                  3019473                                                     
51811                                                        Measurement                                                  3014637                                                     
51819                                                        Measurement                                                  3000265                                                     
51833                                                        Measurement                                                  3010296                                                     
51835                                                        Measurement                                                  3025313                                                     
51836                                                        Measurement                                                  3025313                                                     
51837                                                        Measurement                                                  3019891                                                     
51838                                                        Measurement                                                  3005504                                                     
51841                                                        Measurement                                                  3016251                                                     
51842                                                        Measurement                                                  3019930                                                     
51843                                                        Measurement                                                  40764128                                                    
51846                                                        Measurement                                                  3043310                                                     
51858                                                        Measurement                                                  3038207                                                     
51859                                                        Measurement                                                  3042194                                                     
51861                                                        Measurement                                                  3000265                                                     
51864                                                        Measurement                                                  3044938                                                     
51865                                                        Measurement                                                  3044938                                                     
51869                                                        Measurement                                                  3002523                                                     
51870                                                        Measurement                                                  3002523                                                     
51872                                                        Measurement                                                  3038288                                                     
51873                                                        Measurement                                                  3038288                                                     
51875                                                        Measurement                                                  21492989                                                    
51877                                                        Measurement                                                  3033966                                                     
51879                                                        Measurement                                                  3045028                                                     
51882                                                        Measurement                                                  3012744                                                     
51886                                                        Measurement                                                  3038297                                                     
51887                                                        Measurement                                                  36305551                                                    
51888                                                        Measurement                                                  3023700                                                     
51890                                                        Measurement                                                  723477                                                      
51894                                                        Measurement                                                  21491660                                                    
51895                                                        Measurement                                                  21491660                                                    
51899                                                        Measurement                                                  3047204                                                     
51900                                                        Measurement                                                  3050920                                                     
51911                                                        Measurement                                                  3019891                                                     
51912                                                        Measurement                                                  3005504                                                     
51917                                                        Measurement                                                  3000265                                                     
51920                                                        Measurement                                                  3023700                                                     
51928                                                        Measurement                                                  3014717                                                     
51929                                                        Measurement                                                  3005504                                                     
51933                                                        Measurement                                                  3051552                                                     
51936                                                        Measurement                                                  3032057                                                     
51940                                                        Measurement                                                  3023700                                                     
51943                                                        Measurement                                                  3000265                                                     
51944                                                        Measurement                                                  3007869                                                     
51945                                                        Measurement                                                  40758035                                                    
51947                                                        Measurement                                                  3020389                                                     
51948                                                        Measurement                                                  3024796                                                     
51951                                                        Measurement                                                  3019930                                                     
51959                                                        Measurement                                                  3005148                                                     
51961                                                        Measurement                                                  3026665                                                     
51965                                                        Measurement                                                  3009565                                                     
51967                                                        Measurement                                                  3051227                                                     
51969                                                        Measurement                                                  3033473                                                     
51974                                                        Measurement                                                  3028506                                                     
51977                                                        Measurement                                                  3017250                                                     
51980                                                        Measurement                                                  3004176                                                     
51981                                                        Measurement                                                  3020399                                                     
51982                                                        Measurement                                                  3008366                                                     
51987                                                        Measurement                                                  3042812                                                     
51989                                                        Measurement                                                  3000068                                                     
51991                                                        Measurement                                                  3011802                                                     
51992                                                        Measurement                                                  3014051                                                     
51994                                                        Measurement                                                  3033543                                                     
52000                                                        Measurement                                                  3017250                                                     
52022                                                        Measurement                                                  3024561                                                     
52024                                                        Measurement                                                  3051825                                                     
52026                                                        Measurement                                                  46236952                                                    
52027                                                        Measurement                                                  3000483                                                     
52031                                                        Measurement                                                  3008295                                                     
52032                                                        Measurement                                                  3015968                                                     
52033                                                        Measurement                                                  40769406                                                    
52034                                                        Measurement                                                  3032503                                                     
52035                                                        Measurement                                                  3032503                                                     
52038                                                        Measurement                                                  3003396                                                     
52039                                                        Measurement                                                  3008152                                                     
52040                                                        Measurement                                                  3027946                                                     
52041                                                        Measurement                                                  3019977                                                     
52042                                                        Measurement                                                  3027801                                                     
52044                                                        Measurement                                                  3026782                                                     
52045                                                        Measurement                                                  3015736                                                     
52046                                                        Measurement                                                  3016038                                                     
52047                                                        Measurement                                                  3003181                                                     
52058                                                        Measurement                                                  3003467                                                     
52069                                                        Measurement                                                  3013429                                                     
52070                                                        Measurement                                                  3010503                                                     
52073                                                        Measurement                                                  3028615                                                     
52074                                                        Measurement                                                  3033575                                                     
52075                                                        Measurement                                                  3013650                                                     
52077                                                        Measurement                                                  3037556                                                     
52078                                                        Measurement                                                  3000515                                                     
52085                                                        Measurement                                                  3011625                                                     
52086                                                        Measurement                                                  3011625                                                     
52097                                                        Measurement                                                  3044917                                                     
52098                                                        Measurement                                                  3023055                                                     
52101                                                        Measurement                                                  3051825                                                     
52103                                                        Measurement                                                  3044917                                                     
52104                                                        Measurement                                                  3021322                                                     
52107                                                        Measurement                                                  3032493                                                     
52109                                                        Measurement                                                  3019174                                                     
52112                                                        Measurement                                                  3023055                                                     
52115                                                        Measurement                                                  3016407                                                     
52116                                                        Measurement                                                  3016407                                                     
52122                                                        Measurement                                                  3000401                                                     
52124                                                        Measurement                                                  3003994                                                     
52127                                                        Measurement                                                  3023873                                                     
52134                                                        Measurement                                                  3044917                                                     
52135                                                        Measurement                                                  3050479                                                     
52140                                                        Measurement                                                  3044009                                                     
52141                                                        Measurement                                                  3045707                                                     
52144                                                        Measurement                                                  3004831                                                     
52145                                                        Measurement                                                  3033533                                                     
52154                                                        Measurement                                                  3048603                                                     
52157                                                        Measurement                                                  3022493                                                     
52159                                                        Measurement                                                  3020174                                                     
52162                                                        Measurement                                                  3002346                                                     
52164                                                        Measurement                                                  3034426                                                     
52166                                                        Measurement                                                  3044009                                                     
52170                                                        Measurement                                                  3020416                                                     
52171                                                        Measurement                                                  3012764                                                     
52173                                                        Measurement                                                  43055529                                                    
52175                                                        Measurement                                                  3037533                                                     
52187                                                        Measurement                                                  3036489                                                     
52196                                                        Measurement                                                  40760892                                                    
52197                                                        Measurement                                                  40760892                                                    
52198                                                        Measurement                                                  3020416                                                     
52199                                                        Measurement                                                  3019880                                                     
52201                                                        Measurement                                                  3024929                                                     
52204                                                        Measurement                                                  3019897                                                     
52205                                                        Measurement                                                  3023520                                                     
52206                                                        Measurement                                                  3027945                                                     
52207                                                        Measurement                                                  3000963                                                     
52208                                                        Measurement                                                  3013429                                                     
52209                                                        Measurement                                                  3028615                                                     
52211                                                        Measurement                                                  3004327                                                     
52212                                                        Measurement                                                  3011948                                                     
52213                                                        Measurement                                                  3007238                                                     
52216                                                        Measurement                                                  3005105                                                     
52219                                                        Measurement                                                  3000905                                                     
52255                                                        Measurement                                                  3031163                                                     
52262                                                        Measurement                                                  40758359                                                    
